name,lat_ns_per_op,tp_ns_per_op,lat_intercept_ms,tp_intercept_ms,lat_r2,tp_r2,reliable
v_cmp_u_f16,15.86,9.04,17.5133,17.5226,0.6962,0.2232,0
v_cmp_u_f32,8.68,-2.26,17.5210,17.5491,0.4826,0.0051,0
v_cmpclass_f16,13.93,17.79,17.5596,17.5091,0.9916,0.9317,1
v_cmpclass_f32,-11.06,12.14,17.5388,17.5143,0.1252,0.7399,0
v_copysign_f32,14.89,15.93,17.5210,17.5126,0.9331,0.7891,1
v_cos_f32,37.08,28.22,17.5119,17.5099,0.9988,0.9395,1
v_cto_u32,21.88,16.27,17.5126,17.5159,0.9101,0.8584,1
v_ctz_u32,20.20,18.26,17.5209,17.5101,0.9878,0.9711,1
v_cubeface_f32,17.88,20.03,17.5195,17.5131,0.7338,0.8236,1
v_cubema_f32,20.40,9.37,17.5178,17.5217,0.9955,0.6594,1
v_cubes_f32,20.45,7.83,17.5175,17.5178,0.9846,0.7627,1
v_cubet_f32,15.95,15.06,17.5185,17.5129,0.9015,0.7974,1
v_dp4a_i8_i8_i32,23.53,44.11,17.5093,17.5005,0.9976,0.7915,1
v_dp4a_i8_u8_i32,-8.17,36.66,17.5583,17.5239,0.1082,0.6212,0
v_dp4a_u8_i8_i32,25.81,200.50,17.5217,17.5000,0.9076,0.8740,1
v_dp4a_u8_u8_i32,-114.91,6.76,17.6799,17.5187,0.2106,0.6672,0
v_exp2_f32,35.75,22.58,17.5186,17.5115,0.9451,0.9973,1
v_fcvt_f16_f32,19.54,14.06,17.5158,17.5179,0.8795,0.8540,1
v_fcvt_f16_i16,27.55,108.66,17.5105,17.5302,0.8457,0.1461,0
v_fcvt_f16_u16,-12.31,13.84,17.5669,17.5227,0.0113,0.4816,0
v_fcvt_f32_f16,9.25,68.51,17.5312,17.5068,0.2986,0.5940,0
v_fcvt_f32_f64,144.45,45.33,17.5783,17.5110,0.2132,0.9118,0
v_fcvt_f32_i32,22.19,11.95,17.5124,17.5139,0.9755,0.9865,1
v_fcvt_f32_u32,22.94,14.04,17.5131,17.5137,0.9556,0.9580,1
v_fcvt_f32_u80,22.04,14.89,17.5138,17.5145,0.9785,0.7928,1
v_fcvt_f32_u81,14.18,14.23,17.5235,17.5137,0.8582,0.8748,1
v_fcvt_f32_u82,31.84,13.84,17.5138,17.5161,0.9808,0.9564,1
v_fcvt_f32_u83,18.15,11.45,17.5240,17.5246,0.8878,0.6565,1
